iter	Logloss
0	0.557354761
1	0.4664898142
2	0.4003804314
3	0.3472098143
4	0.3111549676
5	0.281757204
6	0.2620401144
7	0.2473030426
8	0.2369804318
9	0.2261905803
10	0.2193739775
11	0.2131067901
12	0.2090762743
13	0.2044258025
14	0.2021814901
15	0.1997641027
16	0.1969773073
17	0.1952431997
18	0.1939627044
19	0.1925715334
20	0.1913843479
21	0.1903830638
22	0.1895332682
23	0.1888401553
24	0.1881752795
25	0.1877397096
26	0.1873036028
27	0.1870297871
28	0.1867748919
29	0.1864933873
30	0.1861410551
31	0.1859155106
32	0.1857687667
33	0.185515756
34	0.1853481953
35	0.1851820483
36	0.1849517136
37	0.1848408611
38	0.184616889
39	0.1845405376
40	0.1844632577
41	0.1843823183
42	0.184268711
43	0.1841314593
44	0.1839829938
45	0.1838751907
46	0.1837562065
47	0.1836701057
48	0.1835777325
49	0.1834517894
50	0.1833505603
51	0.1832624961
52	0.1831589355
53	0.1830593442
54	0.1829735578
55	0.182929801
56	0.1828604733
57	0.1827910641
58	0.1827342124
59	0.1826803145
60	0.1825883046
61	0.1825368157
62	0.1824760936
63	0.182435639
64	0.1823777027
65	0.1823137569
66	0.182251298
67	0.1821846696
68	0.1821481763
69	0.182036457
70	0.1820093525
71	0.1819950275
72	0.1819782486
73	0.1818868785
74	0.1817976504
75	0.1817527799
76	0.1816852844
77	0.1816541186
78	0.1815745021
79	0.1815024057
80	0.1814370347
81	0.1813951957
82	0.1813019818
83	0.1812346747
84	0.1811852256
85	0.181115381
86	0.1810323008
87	0.1810230473
88	0.1809438826
89	0.1808889359
90	0.180840422
91	0.1807788793
92	0.1807079889
93	0.1806512932
94	0.1806006863
95	0.1805624871
96	0.1805190626
97	0.1804786178
98	0.1804399791
99	0.1803959715
100	0.1802896314
101	0.1802577605
102	0.1801927188
103	0.1801636074
104	0.1801329082
105	0.1800857854
106	0.1800305099
107	0.1799508195
108	0.1799201382
109	0.1798836235
110	0.1798443043
111	0.1797932436
112	0.1797196047
113	0.1796501062
114	0.1795938669
115	0.1795399844
116	0.1794872124
117	0.1793849403
118	0.1793628989
119	0.1793484323
120	0.1792701602
121	0.1792058952
122	0.179147091
123	0.1791345954
124	0.1791094805
125	0.1790629631
126	0.1790363402
127	0.1789748097
128	0.178913692
129	0.178871265
130	0.1788087624
131	0.1787626086
132	0.178712707
133	0.1786498918
134	0.1785845809
135	0.1785081255
136	0.1784782954
137	0.1784090133
138	0.1783542335
139	0.1783272002
140	0.1782777511
141	0.178217491
142	0.1781675347
143	0.1781274825
144	0.1780882168
145	0.1780563771
146	0.1780067148
147	0.1779778661
148	0.1779305787
149	0.177872962
150	0.1777924898
151	0.1777444059
152	0.1777045662
153	0.1776582957
154	0.1776131014
155	0.1775784755
156	0.1775366667
157	0.1774723529
158	0.1774676603
159	0.1774284761
160	0.1774045457
161	0.1773495881
162	0.1773073031
163	0.1772462077
164	0.1772137214
165	0.1771938543
166	0.1771540018
167	0.177106471
168	0.177057938
169	0.1769984897
170	0.1769869022
171	0.1769352115
172	0.1769015296
173	0.1768604
174	0.176776276
175	0.1767365572
176	0.176708681
177	0.1766589523
178	0.1766095932
179	0.1765581713
180	0.1764912625
181	0.1764610869
182	0.1764189838
183	0.1764178068
184	0.1763797289
185	0.1763080361
186	0.1762540819
187	0.1761787556
188	0.1761214309
189	0.1760779083
190	0.1760300115
191	0.1759893017
192	0.1759484991
193	0.1758980886
194	0.175825402
195	0.1757718389
196	0.1757158694
197	0.1756606334
198	0.1756028234
199	0.175563488
